Name,Name_graph,Team,Season,Minutes,Primary Position,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV,Image key,
Edson,Edson,Juárez,2023/2024,859,Lateral,0.21,0.21,0.18,0.34,0.52,40,40,1,0,0.11,0,0.07,0.73,0,0.04,0.52,0,0.03,0.21,0.21,0.25,1.26,-0.04,1.68,0.73,0.94,44,1.47,0,0.73,2.31,1.99,1.93,1.89,1.76,19.08,10.38,0.03,4.93,40.18,3.35,8.6,2.52,4.51,71,3.13,5.06,2.41,71,1.05,47,0.73,0,14.15,14.43,3.46,3.88,0.63,45.24,6.18,44,3.04,78,0.1,0,0,38.36,83,3.56,15,67,2.31,4.93,10,62,-21,52.48,6.08,0.39,0.48,37.73,92,5.54,9.54,1.05,0.63,0.42,0,0.73,1.36,0,30,0.42,36,0,26,65,9,30,63,8,20.06,19.22,0.96,100,-0.84,19.34,19.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,3.35,23,0.12,0.06,0.1,-0.03,0,0.24,,
Eduardo Alonso Armenta Palma,Eduardo Alonso Armenta Palma,Tijuana,2023/2024,998,Lateral,0,0,0.03,0.04,0.9,0,20,2,0,0.05,0.09,0.15,0.9,0.09,0.15,0.81,0,0,0.09,0.09,0.18,1.8,-0.09,2.34,1.08,1.26,46,0.54,0,0.9,3.88,0.72,0.57,1.08,0.72,22.54,8.2,0.01,4.51,48.57,3.43,6.76,2.52,3.25,76,2.24,2.81,1.44,44,0.81,27,0.72,0.09,18.75,15.76,2.79,4.15,0.09,51.56,9.38,50,3.16,76,0.18,0,0,25.78,67,1.53,29,44,1.44,3.16,17,65,-2,56.65,4.42,0.28,0.44,26.05,83,6.04,7.93,1.26,1.08,0.18,0.18,1.62,2.7,0.09,36,0.63,22,0.27,28,63,9,27,60,13,20.92,17.74,0.94,105,-3.18,19.74,18.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,13,3.43,21,0.09,0.05,0.01,-0.01,0,0.15,,
Eduardo Tercero,Eduardo Tercero,Tigres UANL,2023/2024,387,Lateral,0,0,0,0.02,0.23,0,0,0,0,0,0,0.02,0.46,0,0.02,0.46,0,0,0,0,0.02,0.7,-0.02,0.23,0.23,0,100,0.46,0,0.23,0.23,0.93,1.55,3.02,4.46,18.37,10.23,0.03,7.9,34.25,3.02,6.51,3.25,4.18,78,4.85,6.4,1.63,73,0.93,33,0.93,0,13.48,20.18,4.88,2.32,1.39,37.87,3.49,26,1.39,60,0.23,0,0.23,49.75,86,2.79,5,63,3.25,4.18,8,72,-14,44.16,3.72,0.75,0.77,42.78,99,4.77,4.65,0.46,0,0.46,0,0,0,0,0,0,0,0,29,70,2,30,65,5,20.02,19.92,0.94,103,-0.1,18.87,20.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,4.93,30,0.11,0.07,-0.01,-0.01,0,0.17,,
Elías Hernández,Elías Hernández,León,2023/2024,1680,Lateral,0,0,0.06,0.04,1.45,0,22,2,0,0.02,0.32,0.17,1.93,0.27,0.13,1.34,0.05,0.04,0.59,0.32,0.23,3.38,0.09,1.98,0.96,1.02,49,0.32,0,1.02,1.98,1.02,0.9,0.43,0.44,11.46,6,0.01,2.57,42.84,2.95,7.61,1.02,2.04,58,1.1,2,0.16,44,0.75,32,0.32,0,10.29,9.65,2.09,2.46,0.27,46.04,4.55,44,1.82,74,0.16,0,0,37.07,78,4.39,13,63,0.96,6.48,13,79,1,58.51,4.71,0.4,0.56,35.14,92,5.09,12.59,2.63,1.55,1.07,0.21,1.71,3.27,0.21,29,1.02,37,0.11,16,68,16,19,66,15,21.22,16.26,0.96,103,-4.96,20.38,16.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,7.57,48,0.15,0.05,0.02,-0.05,0,0.17,,
Emilio Lara,Emilio Lara,América,2023/2024,465,Lateral,0,0,0.01,0.04,0.19,0,0,0,0,0,0.19,0.05,0.77,0.19,0.05,0.77,0,0,0,0.19,0.06,0.97,0.14,0.77,0.39,0.39,50,0.19,0,0.39,0.97,1.74,1.82,6.58,7.59,11.22,5.03,0.05,4.84,27.64,1.16,7.55,1.35,3.1,88,1.24,3.06,0.58,80,0.19,67,2.32,0.19,9.67,11.16,1.74,1.74,0.19,33.45,2.52,26,1.16,67,0.19,0,0,38.7,85,4.06,16,70,7.35,5.03,10,73,-13,45.65,1.74,0.47,0.5,31.34,96,4.17,7.16,1.55,1.55,0,0,0.39,1.93,0.19,63,0.97,45,0,24,67,9,11,59,30,20.81,23.09,0.95,76,2.27,19.68,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,3.27,22,0.12,0.02,0.12,-0.01,0,0.25,,
Emilio Martínez González,Emilio Martínez González,Necaxa,2023/2024,1809,Lateral,0.05,0.05,0,0.01,0.35,14,14,0,0,0,0,0.03,0.5,0,0.03,0.45,0,0,0.05,0.05,0.03,0.85,0.02,0.15,0.1,0.05,67,0.9,0,0.55,0.45,1.79,0.81,2.74,1.8,13.18,6.87,0.03,4.18,31.29,2.24,6.97,2.64,4.43,67,1.46,2.28,0.65,55,1.29,42,0.8,0,9.95,5.62,2.39,1.19,0.1,36.5,2.64,27,0.75,63,0.1,0,0,21.74,70,1.84,9,46,3.18,3.53,12,59,-11,49.6,3.93,0.22,0.24,16.97,95,3.1,4.73,0.9,0.65,0.25,0,0.05,0.7,0.2,44,0.45,53,0,46,48,6,47,51,2,21.9,18.68,0.91,97,-3.22,19.83,18.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,14,3.32,28,0.15,0.02,0.06,-0.01,0,0.22,,
Emilio Santillán Espinoza,Emilio Santillán Espinoza,Santos Laguna,2023/2024,16,Lateral,0,0,0,0,0,0,0,0,0,0,5.52,2.21,11.03,5.52,2.21,11.03,0,0,0,5.52,2.21,11.03,3.31,0,0,0,0,0,0,0,0,0,0,0,0,11.03,0,0,0,45.33,0,5.52,0,0,0,0,0,5.52,0,0,0,0,0,5.52,8.47,0,5.52,0,45.33,0,0,0,0,0,0,0,66.19,92,5.52,9,50,0,11.03,0,0,0,56.92,11.03,1.97,2.21,60.67,100,1.89,27.58,5.52,5.52,0,5.52,11.03,16.55,0,100,11.03,100,5.52,15,77,8,0,100,0,24.4,0,0.85,0,0,20.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,11.03,43,1.75,0.02,-0.02,0,0,1.75,,
Emmanuel Echeverría,Emmanuel Echeverría,Santos Laguna,2023/2024,926,Lateral,0.1,0.1,0.02,0.05,0.39,25,25,0,0,0.01,0,0.01,0.39,0,0.01,0.39,0,0,0,0.1,0.03,0.78,0.07,1.55,0.68,0.87,44,0.97,0,0.78,2.62,1.36,1.56,2.04,2.55,16.32,8.65,0.02,3.4,34.5,1.85,5.44,1.85,3.21,51,2.26,3.82,1.36,45,1.75,42,0.49,0.1,13.22,15.96,2.43,3.01,0.29,37.16,3.69,28,1.26,42,0.1,0,0,37.51,80,1.26,81,45,2.53,2.33,14,65,-15,44.14,2.33,0.26,0.27,34.5,92,4.44,5.15,0.19,0.19,0,0,0.58,0.78,0,50,0.19,20,0,26,60,14,11,60,28,17.78,16.76,0.93,100,-1.02,16.59,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,2.03,20,0.01,0.05,0.08,-0.02,0,0.13,,
Everardo López,Everardo López,Toluca,2023/2024,120,Lateral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.75,0,3.75,5.04,1.5,2.02,18.73,11.99,0,7.49,36.25,0.75,11.24,4.5,8.24,100,5.97,11.02,0,100,0,0,0,0,14.24,18.85,4.5,0,0,35.41,3.75,26,0,0,0,0,0,52.46,74,3,79,57,1.5,5.25,4,67,-8,46.38,3.75,0.75,0.75,38.97,98,3.46,6,1.5,1.5,0,0,1.5,3,0,0,0,0,0,28,62,10,13,75,13,19.71,9.27,0.93,134,-10.44,18.33,12.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5.55,47,0.02,0.03,0.07,0,0,0.12,,
Fernando Ordóñez,Fernando Ordóñez,Tigres UANL,2023/2024,187,Lateral,0,0,0,0,0,0,0,0,0,0,0,0.05,0.48,0,0.05,0.48,0,0,0,0,0.05,0.48,-0.05,0,0,0,0,0.96,0,0,1.44,1.44,0.87,0.96,0.58,12.99,6.26,0.07,4.81,34.22,3.37,6.74,0.96,2.41,100,0.95,1.82,1.44,0,0,100,0.96,0.48,10.59,11.27,3.85,1.92,0.48,35.61,2.89,27,0.96,50,0,0,0,38.98,87,1.92,88,67,0.96,2.89,13,85,-2,48.87,5.29,0.78,0.83,35.13,97,3.51,10.59,1.44,1.44,0,0,0.48,1.92,0,33,0.48,100,0,22,69,8,5,82,14,17.93,16.2,0.98,94,-1.74,17.61,15.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,6.54,42,0.05,0.03,0.11,0,0,0.18,,
Francisco Contreras,Francisco Contreras,Tijuana,2023/2024,2287,Lateral,0,0,0.02,0.04,0.43,0,9,0,0,0,0,0.06,1.02,0,0.05,0.83,0,0.01,0.2,0,0.07,1.46,-0.07,0.67,0.28,0.39,41,0.67,0,0.9,1.57,1.38,1.06,2.16,1.61,17.71,7.24,0.01,4.84,38.63,3.31,8.18,2.09,3.46,77,1.69,2.74,0.83,59,0.63,53,1.02,0,14.79,12.13,3.7,3.19,0.47,43.01,5.59,38,2.2,69,0.16,0,0,32.97,77,2.2,88,48,2.75,3.97,14,79,1,52.58,3.5,0.23,0.26,28.68,92,4.25,8.38,1.22,0.87,0.35,0.16,0.75,1.61,0.04,48,0.67,35,0.12,28,61,11,24,63,13,19.51,18.14,0.92,97,-1.37,17.92,17.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,5.39,36,0.15,0.02,-0.01,-0.02,0,0.14,,
Francisco Nevarez,Francisco Nevarez,Juárez,2023/2024,76,Lateral,0,0,0,0,0,0,0,0,0,0,0,0.11,2.38,0,0.06,1.19,0,0.05,1.19,0,0.11,2.38,-0.11,1.19,1.19,0,100,1.19,0,0,1.19,2.38,2.31,2.38,3.64,20.22,8.33,0.13,5.95,25.52,0,3.57,0,2.38,0,0,2.31,2.38,0,3.57,50,2.38,0,17.84,15.34,3.57,2.38,0,28.16,2.38,13,1.19,50,1.19,0,0,34.49,81,2.38,8,100,2.38,2.38,22,43,-38,48.19,3.57,0.29,0.29,30.93,96,4.97,5.95,2.38,1.19,1.19,0,0,1.19,0,50,1.19,100,0,22,72,6,20,80,0,19.02,11.98,1.06,116,-7.04,20.25,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,4.76,19,0.13,0.02,0.06,0,0,0.21,,
Francisco Venegas Querétaro,Francisco Venegas,Querétaro,2023/2024,1061,Lateral,0,0,0.03,0.04,0.68,0,13,1,0,0.01,0,0.02,0.59,0,0.01,0.34,0,0.01,0.25,0,0.05,1.27,-0.05,1.1,0.59,0.51,54,0.68,0,0.25,0.68,2.21,1.09,3.22,1.63,18.67,9.93,0.04,4.5,31.37,3.14,8.23,2.89,5.09,74,1.54,2.63,2.04,50,1.02,52,1.02,0,13.75,6.51,2.63,1.78,0.17,36.7,3.56,26,1.53,86,0.51,0,0,24.78,73,3.82,75,51,4.16,6.62,15,63,-10,47.88,3.06,0.31,0.33,19.01,96,4.04,4.41,0.76,0.34,0.42,0,0,0.34,0.08,11,0.08,13,0.08,39,53,8,37,52,12,25.53,23.41,0.89,76,-2.12,22.61,17.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,15,4.24,35,0.11,0.03,-0.04,-0.02,0,0.09,,
Francisco Venegas Mazatlán,Francisco Venegas,Mazatlán,2023/2024,568,Lateral,0.32,0.32,0.11,0.08,1.43,22,44,1,0,0.11,0,0.01,0.32,0,0.01,0.32,0,0,0,0.32,0.11,1.74,0.2,1.43,0.79,0.63,56,0.95,0,0.48,2.06,1.27,0.87,1.27,0.9,12.21,5.87,0,3.33,35.56,1.43,7.14,2.54,3.81,84,2.13,3,1.27,63,0.48,44,1.11,0,8.4,7.58,2.54,2.06,0.16,40.95,2.85,34,1.43,69,0.32,0,0,37.74,78,3.49,84,52,1.9,6.03,10,59,-19,48.93,4.92,0.32,0.33,33.77,93,4.04,8.72,1.27,1.11,0.16,0.16,2.54,3.65,0,50,0.63,36,0.32,33,58,10,15,64,22,21.86,20.33,0.91,89,-1.53,19.98,18.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,4.25,31,0.13,0.07,0.03,-0.04,0,0.2,,
Gaddi Axel Aguirre Ledesma,Gaddi Axel Aguirre Ledesma,Atlas,2023/2024,1665,Lateral,0,0,0.05,0.07,0.76,0,7,0,0,0,0,0.01,0.16,0,0.01,0.16,0,0,0,0,0.06,0.92,-0.06,0.38,0.32,0.05,86,0.49,0,0.27,0.16,0.92,0.87,3.62,3.33,15.24,7.13,0.08,3.57,31.19,2,6.7,1.84,2.76,74,1.98,2.86,1.73,72,0.65,52,1.84,0,11.73,10.69,2.05,2.05,0.27,37.45,3.03,26,1.08,53,0.16,0,0,40.96,85,2.81,19,49,4.59,4.81,10,61,-24,38.52,2.22,0.43,0.46,31.99,99,3.55,2.54,0.7,0.27,0.43,0,1.3,1.57,0,23,0.16,75,0,28,67,5,30,64,6,22,23.88,0.9,83,1.88,19.84,19.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,2.85,22,0.08,0.03,0.07,-0.06,0,0.11,,
Gerardo Arteaga,Gerardo Arteaga,Monterrey,2023/2024,1325,Lateral,0.2,0.2,0.08,0.12,0.68,30,50,1,0,0.09,0,0.06,1.02,0,0.06,1.02,0,0,0,0.2,0.14,1.7,0.06,2.31,1.16,1.16,50,1.22,0,1.56,2.45,2.17,2.81,1.02,1.37,12.43,4.28,0.02,4.35,33.52,2.92,7.81,1.97,4.14,83,2.17,4.98,0.95,75,0.41,42,0.68,0,9.65,11.4,2.79,2.04,0.34,37.02,2.65,27,1.02,50,0.27,0,0.07,34.11,83,2.17,86,49,1.29,4.14,11,75,-8,55.6,5.91,0.38,0.45,33.09,89,5.33,12.03,1.16,1.16,0,0.14,1.9,3.06,0,65,0.88,42,0.27,27,57,16,24,50,26,18.17,15.23,0.92,107,-2.94,16.64,16.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,4.87,36,0.13,0.07,0.08,0.01,0,0.29,,
Gustavo Ferrareis,Gustavo Ferrareis,Puebla,2023/2024,3104,Lateral,0.03,0.03,0.03,0.03,0.99,3,24,1,0,0.04,0,0.06,0.81,0,0.06,0.75,0,0,0.06,0.03,0.09,1.8,-0.06,0.93,0.41,0.52,44,1.45,0,0.9,1.57,1.28,1.08,2.52,1.97,15.05,7.37,0.02,4.03,35.81,2.41,6.73,1.83,3.1,68,1.84,2.91,1.42,53,0.87,50,0.7,0.03,11.8,11.01,2.49,2.35,0.38,41.7,4.15,35,1.62,69,0.23,0,0.03,34.1,79,2.67,5,48,2.81,5.22,9,78,-1,50.73,4.93,0.38,0.43,32.71,93,4.68,7.74,1.13,0.96,0.17,0.06,0.93,1.88,0,56,0.75,35,0.17,25,63,12,27,64,9,20.43,16.05,0.91,95,-4.38,18.54,15.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,5.12,36,0.14,0.08,0.06,0,0,0.27,2 Gustavo Ferrareis.png,
Idekel Domínguez,Idekel Domínguez,Atlas,2023/2024,787,Lateral,0,0,0.02,0.04,0.46,0,0,1,0,0,0,0.04,0.57,0,0.04,0.57,0,0,0,0,0.06,1.03,-0.06,0.23,0.11,0.11,50,1.94,0,0.46,0.92,1.49,1.21,3.2,2.62,15.67,6.41,0.01,5.83,35.2,3.32,7.55,2.17,3.66,61,1.76,2.98,0.92,57,1.37,33,1.14,0,12.81,11.36,3.2,3.09,0.69,42.01,4.69,37,1.94,63,0,0,0,28.25,75,2.63,26,52,3.55,4.69,10,58,-17,45.25,2.75,0.18,0.2,24.13,94,4.19,3.43,0.46,0.34,0.11,0.34,0.92,1.26,0,50,0.23,29,0.34,28,61,12,17,53,30,22.46,17.18,0.91,87,-5.29,20.54,14.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,3.87,26,0.07,0.02,0.1,-0.03,0,0.17,,
Ignacio Rivero,Ignacio Rivero,Cruz Azul,2023/2024,3288,Lateral,0.11,0.11,0.14,0.08,1.81,6,32,1,0,0.12,0.11,0.1,1.26,0.11,0.09,1.04,0,0.01,0.22,0.22,0.24,3.07,-0.02,0.96,0.55,0.41,57,1.31,0.03,1.01,1.56,1.07,1.3,1.89,2.06,16.75,8.21,0.04,4.49,39.17,3.61,7.99,1.94,3.01,52,2.5,3.8,1.09,46,1.78,46,1.31,0,13.77,16.63,2.66,3.07,0.44,43.96,5.58,41,2.16,71,0.33,0,0,41.64,77,3.91,11,51,2.52,7.06,11,66,-11,52.31,5.39,0.55,0.62,37.5,94,4.01,10.84,1.94,1.37,0.57,0.14,2.41,3.78,0.22,20,0.49,23,0.22,23,65,12,32,56,12,21.22,19.28,0.91,91,-1.93,19.25,17.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,5.88,37,0.12,0.05,0.05,-0.03,0,0.2,,
Iker Moreno,Iker Moreno,Atlético San Luis,2023/2024,582,Lateral,0.15,0.15,0.02,0.06,0.31,50,50,0,0,0.08,0.31,0.11,0.62,0.31,0.11,0.62,0,0,0,0.46,0.13,0.93,0.33,2.17,1.08,1.08,50,0.62,0,0.46,2.47,1.7,1.8,2.94,2.51,16.7,5.72,0,4.49,33.11,1.24,8.82,2.94,4.64,70,2.81,4.61,1.55,47,1.24,33,0.31,0,12.22,12.42,2.17,3.09,0.31,38.91,4.18,34,1.7,55,0.15,0,0,44.08,85,3.09,3,71,3.25,4.02,9,63,-22,44.91,4.02,0.25,0.31,40.37,93,4.8,11.14,0.15,0.15,0,0.15,1.08,1.24,0,0,0.31,50,0.31,26,59,15,29,57,14,17.29,13.53,1,125,-3.77,17.31,16.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,4.1,38,0.05,0.08,0.05,0.03,0,0.21,,
Ismael Govea,Ismael Govea,Santos Laguna,2023/2024,2106,Lateral,0,0,0.01,0.03,0.34,0,38,0,0,0.01,0.09,0.07,0.6,0.09,0.07,0.56,0,0,0.04,0.09,0.09,0.94,0,0.26,0.13,0.13,50,0.98,0,0.6,0.68,1.15,0.88,3.12,2.4,13.72,5.13,0.04,3.16,33.61,1.92,7.78,1.79,2.95,76,1.41,2.29,0.94,58,0.56,59,1.79,0,10.98,8.93,2.09,1.5,0.17,39.24,3.46,32,1.2,80,0.09,0,0,29.74,78,2.35,8,54,3.5,3.97,10,71,-6,51.35,3.76,0.12,0.18,23.55,95,3.94,6.92,1.11,0.77,0.34,0.13,0.94,1.71,0,46,0.6,37,0.13,32,55,13,33,47,20,19.77,17.12,0.93,103,-2.65,18.35,17.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,14,3.11,22,0.12,0.03,0.08,-0.01,0,0.23,,
Ivo Vázquez,Ivo Vázquez,Puebla,2023/2024,155,Lateral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74,0.58,1.16,33,0,0,1.16,3.49,0,0,1.16,0.43,12.79,6.98,0,4.07,43.11,2.91,9.88,3.49,3.49,100,1.78,1.78,1.74,100,0,0,0,0.58,7.56,6.28,2.91,1.16,0,43.05,3.49,46,1.16,100,0,0,0,34.89,74,2.33,88,36,1.16,6.4,6,75,1,40.43,2.33,0.05,0.05,33.72,86,5.03,2.33,0,0,0,0,0.58,0.58,0,0,0,0,0,27,50,23,50,50,0,22.05,26.51,0.84,117,4.46,18.5,31.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,17,1.63,20,0.02,0.04,0.04,0,0,0.1,13 Ivo Vázquez.png,
Iván Moreno,Iván Moreno,León,2023/2024,2124,Lateral,0.04,0.04,0.05,0.06,0.81,5,47,1,0,0.05,0.13,0.06,0.72,0.13,0.06,0.64,0,0,0.08,0.17,0.11,1.53,0.06,1.48,0.64,0.85,43,0.81,0,1.65,2.46,0.93,0.93,1.53,1.59,15.55,7.25,0.02,3.18,37.28,2.5,6.36,2.29,3.22,64,1.96,2.9,0.64,48,1.27,32,0.38,0,12.67,12.28,2.08,2.29,0.3,40.57,4.53,36,1.19,52,0.08,0,0,35.39,79,1.27,9,47,1.99,2.25,13,65,-14,57.43,4.45,0.4,0.46,33.82,89,5.22,12.21,1.4,1.31,0.08,0.13,1.53,2.84,0.08,52,0.85,38,0.21,23,65,12,19,65,17,16.84,16.75,0.92,91,-0.09,15.44,15.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,5.61,36,0.12,0.06,0.03,0.01,0,0.22,,
Jaime Gómez,Jaime Gómez,Querétaro,2023/2024,1857,Lateral,0,0,0.03,0.06,0.44,0,22,1,0,0,0.05,0.04,0.39,0.05,0.04,0.39,0,0,0,0.05,0.07,0.82,-0.02,1.21,0.58,0.63,48,1.11,0,1.07,1.5,0.87,0.48,1.84,0.99,19.14,10.61,0.02,3.59,37.53,2.96,8.58,2.33,3.2,69,1.2,1.68,1.36,55,1.07,48,1.26,0.05,15.51,7.26,2.28,2.42,0.19,41.42,5.43,35,1.74,72,0.19,0,0,28.98,78,1.31,6,35,2.23,3.39,21,76,-3,50.78,3.92,0.29,0.3,27.33,91,5.52,7.66,0.87,0.63,0.24,0.05,0.87,1.5,0,28,0.39,30,0.15,27,63,9,24,68,8,19.5,16.19,0.87,91,-3.31,16.89,14.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,3.39,26,0.08,0.09,0.03,-0.01,0,0.18,,
Jair Cortés,Jair Cortés,Necaxa,2023/2024,1051,Lateral,0,0,0.05,0.06,0.86,0,0,1,0,0,0,0.01,0.26,0,0.01,0.17,0,0,0.09,0,0.06,1.11,-0.06,0.69,0.34,0.34,50,1.11,0,1.2,1.11,1.54,0.89,3.68,1.7,21.68,11.14,0.02,4.46,34.29,4.2,9.17,3.6,5.14,78,2.22,3.1,1.54,66,1.03,61,1.63,0,16.62,9.09,2.91,2.23,0,37.39,4.88,29,1.46,65,0.26,0.09,0,28.87,67,2.23,17,44,4.63,4.11,15,61,-5,52.13,3.94,0.18,0.19,25.36,92,4.62,5.83,0.86,0.43,0.43,0,0.51,0.94,0,30,0.43,21,0.09,36,57,7,37,56,7,21.28,19.42,0.9,106,-1.86,19.2,20.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,3.66,35,0.23,0.07,0,-0.02,0,0.28,,
Jair Díaz,Jair Díaz,Mazatlán,2023/2024,1982,Lateral,0,0,0.02,0.07,0.27,0,17,0,0,0.04,0,0.03,0.36,0,0.03,0.36,0,0,0,0,0.05,0.64,-0.05,0.86,0.32,0.54,37,0.95,0,0.77,1.54,0.68,0.76,2.27,2.06,17.34,7.72,0.02,4.81,32.58,1.36,5.04,2.77,3.45,73,2.7,3.46,2.09,60,1.04,37,0.59,0,12.53,11.94,3.04,2,0.23,36.51,3.45,28,1.23,61,0.45,0.09,0,30.33,78,1.95,88,44,3.04,3.63,13,64,-13,47.77,3.54,0.44,0.46,28.47,92,4.45,5.72,0.59,0.5,0.09,0.18,1.04,1.54,0.05,54,0.5,33,0.23,30,58,12,31,50,19,21.46,23.25,0.9,84,1.79,19.29,19.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,3.28,26,0.09,0.04,0.07,-0.02,0,0.18,,
Javier Aquino,Javier Aquino,Tigres UANL,2023/2024,3170,Lateral,0,0,0.01,0.02,0.43,0,13,0,0,0,0.09,0.06,0.77,0.09,0.06,0.74,0,0,0.03,0.09,0.07,1.19,0.02,1.93,1.14,0.8,59,1.56,0,0.85,1.56,1.62,1.96,2.3,2.82,15.25,8.29,0.02,5.2,35.79,2.53,7.72,2.58,4.2,65,3.05,5.01,0.8,54,1.42,49,0.94,0,11.93,14.33,3.15,2.47,0.28,39.09,3.61,30,1.33,54,0.06,0,0.03,50.65,82,2.67,14,51,3.04,4.54,11,78,-4,51,6.1,0.36,0.39,46.25,95,4.26,13.49,1.53,1.02,0.51,0.09,0.45,1.48,0.09,33,0.71,27,0.09,30,62,8,37,56,7,18.6,17.94,0.92,92,-0.66,17.19,16.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,5.22,37,0.18,0.1,-0.01,-0.01,0,0.26,,
Jesús Alan Vega Grijalva,Jesús Alan Vega Grijalva,Tijuana,2023/2024,433,Lateral,0,0,0.03,0.03,1.25,0,33,2,0,0,0,0.03,0.42,0,0,0,0,0.03,0.42,0,0.06,1.66,-0.06,1.04,0.42,0.62,40,0.21,0,0.62,1.25,0.62,0.74,1.04,1.31,16.2,8.31,0.02,4.15,41.7,2.7,5.61,2.28,2.91,79,2.7,3.44,1.25,50,0.62,40,0.42,0,12.67,14.84,2.7,2.28,0.42,44.06,5.19,41,2.08,91,0.21,0,0,29.69,64,1.66,77,32,1.04,5.19,8,79,14,59.37,6.23,0.47,0.48,24.5,93,5.72,8.93,1.87,0.62,1.25,0,0.42,1.04,0.21,11,0.21,8,0,35,60,5,33,65,2,21,15.64,0.88,90,-5.36,18.41,14.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,16,3.72,24,0.15,0.05,0.05,-0.04,0,0.21,,
